window_id,start_time_sec,end_time_sec,avg_eff_throughput_mbps
1,0.0,141.0,784.3
2,141.0,236.0,0.0
3,262.0,296.0,0.0
4,296.0,540.0,0.0
5,540.0,690.0,0.0
6,737.0,1026.0,0.0
7,1026.0,1141.0,0.0
8,1182.0,1465.0,0.0
9,1465.0,1589.0,0.0
10,1628.0,1901.0,0.0
11,1901.0,2035.0,0.0
12,2077.0,2334.0,0.0
13,2334.0,2480.0,0.0
14,2529.0,2764.0,0.0
15,2764.0,2922.0,0.0
16,2922.0,2977.0,0.0
17,2984.0,3191.0,0.0
18,3191.0,3361.0,0.0
19,3361.0,3453.0,0.0
20,3453.0,3611.0,0.0
21,3611.0,3799.0,0.0
22,3799.0,3915.0,0.0
23,3915.0,4020.0,0.0
24,4020.0,4233.0,0.0
25,4233.0,4372.0,0.0
26,4424.0,4714.0,0.0
27,4714.0,4824.0,0.0
28,4867.0,5155.0,0.0
29,5155.0,5274.0,0.0
30,5313.0,5592.0,0.0
31,5592.0,5721.0,0.0
32,5761.0,6027.0,0.0
33,6027.0,6166.0,0.0
34,6211.0,6459.0,0.0
35,6459.0,6609.0,0.0
36,6664.0,6887.0,0.0
37,6887.0,7050.0,0.0
38,7050.0,7125.0,0.0
39,7125.0,7200.0,0.0
